Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	227050.0
Centrála	Odměny vedoucích za výkon funkce	68821.0
Centrála	Provozní výdaje mediálního odboru	32794.0
Centrála	Výdaje na právní záležitosti	1120.0
Praha	Odměny zastupitelů	16418.0
