Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	248360.0
Centrála	Odměny vedoucích za výkon funkce	29820.0
Centrála	Provozní výdaje administrativního odboru	35190.0
Centrála	Provozní výdaje mediálního odboru	7544.0
Centrála	Provozní výdaje předsednictva	0.0
Centrála	Výdaje na právní záležitosti	880.0
Jihočeský kraj	Mediální odbor Jihočeský kraj	100.0
Praha	Odměny zastupitelů	4816.0
