Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	40000.0
Centrála	Provozní výdaje finančního odboru	17410.0
Centrála	Provozní výdaje mediálního odboru	123784.0
Centrála	Provozní výdaje personálního odboru	373547.0
Centrála	Provozní výdaje předsednictva	16500.0
Centrála	Výdaje na právní záležitosti	2060.0
Centrála	Výdaje transformace	40000.0
Jihočeský kraj	Mzdové náklady vedoucí MO	5350.0
Praha	Koordinace dobrovolníků	40162.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	46264.0
Praha	Podpora senátora L. Michálka	10550.0
Praha	Stínoví zastupitelé	6650.0
