Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	174253.0
Centrála	Odměny vedoucích za výkon funkce	51642.0
Centrála	Provozní výdaje administrativního odboru	19700.0
Centrála	Provozní výdaje mediálního odboru	23922.0
Centrála	Provozní výdaje předsednictva	10859.0
Centrála	Volební kampaň do sněmovny	8500.0
Centrála	Výdaje na právní záležitosti	800.0
Královehradecký kraj	Příspěvek na činnost krajského zastupitele	6666.0
Praha	Koordinace dobrovolníků	12090.0
Praha	Odměny zastupitelů	12382.0
