Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	133698.0
Centrála	Provozní výdaje administrativního odboru	54000.0
Centrála	Provozní výdaje finančního odboru	13000.0
Centrála	Provozní výdaje mediálního odboru	99128.0
Centrála	Provozní výdaje personálního odboru	91077.0
Centrála	Výdaje na právní záležitosti	480.0
Jihočeský kraj	Mzdové náklady vedoucí MO	3000.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	32788.0
Praha	Podpora senátora L. Michálka	8520.0
