Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	135147.0
Centrála	Odměny vedoucích za výkon funkce	50894.0
Centrála	Provozní výdaje administrativního odboru	29907.0
Centrála	Provozní výdaje finančního odboru	0.0
Centrála	Provozní výdaje mediálního odboru	16766.0
Centrála	Provozní výdaje předsednictva	6745.0
Centrála	Výdaje na právní záležitosti	200.0
Praha	Odměny zastupitelů	35573.0
