Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	696061.0
Centrála	Odměny vedoucích za výkon funkce	40165.0
Centrála	Provozní výdaje administrativního odboru	38600.0
Centrála	Provozní výdaje mediálního odboru	6394.0
Centrála	Provozní výdaje předsednictva	1208.0
Centrála	Výdaje na právní záležitosti	1600.0
Centrála	https://redmine.pirati.cz/issues/8672	43676.0
Jihočeský kraj	Mediální odbor Jihočeský kraj	2900.0
Praha	Odměny zastupitelů	11280.0
