Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	143330.0
Centrála	Odměny vedoucích za výkon funkce	51710.0
Centrála	Provozní výdaje administrativního odboru	27667.0
Centrála	Provozní výdaje mediálního odboru	13982.0
Centrála	Provozní výdaje předsednictva	8282.0
Centrála	Výdaje na právní záležitosti	1088.0
Královehradecký kraj	Příspěvek na činnost krajského zastupitele	6666.0
Praha	Odměny zastupitelů	34958.0
