Funkce,Typ příjmu,Výpočet,Výše příjmu,Začátek,Konec
zastupitel hl. m. Prahy,paušální odměna člena Zastupitelstva hl. m. Prahy,měsíčně,5651,2014-12-10,
zastupitel hl. m. Prahy,náhrada výdělku za dobu výkonu funkce,hodinově,450,2014-12-10,
