Funkce,Typ příjmu,Výpočet,Výše příjmu
zastupitel hl. m. Prahy,paušální odměna člena Zastupitelstva hl. m. Prahy,měsíčně,5651
zastupitel hl. m. Prahy,náhrada výdělku za dobu výkonu funkce,hodinově,450
